"Order ID","Date","Order status","Shipping","Shipping Tax","OrderDiscount","ProductID","Item Name","Item Amount","Quantity","Email","Status",
"2","2015-04-17 20:08:04","Completed","0","0","0","117","Antique Victoria Set","17500","10","demo@dmeo.com","Pending",
"3","2015-04-18 17:06:08","Completed","0","0","0","10","American Diamond Kada","3495","10","ajayreddy5242@gmail.com","Pending",
"4","2015-04-18 17:07:06","Completed","0","0","0","10","American Diamond Kada","3495","10","seo@ambestmedia.com","Pending",
"5","2015-04-18 17:09:07","Completed","0","0","0","10","American Diamond Kada","3495","10","seo@ambestmedia.com","Pending",
"7","2015-04-22 10:59:06","Completed","0","0","0","12","American Diamond Kada","2250","10","webmaster@ambestmedia.com","Pending",
"8","2015-04-22 10:59:18","Completed","0","0","0","12","American Diamond Kada","2250","10","webmaster@ambestmedia.com","Pending",
"9","2015-04-23 09:46:46","Completed","0","0","0","41","American Diamond Necklace Set","62500","10","adfsgfs@dgh.com","Pending",
"11","2015-04-23 10:41:49","Completed","0","0","0","10","American Diamond Kada","3495","10","seo@ambestmedia.com","Pending",
"27","2015-04-25 18:00:29","Completed","0","0","0","2","American Diamond Bangle","2795","10","shah@gmail.com","Pending",
"29","2015-04-25 18:00:32","Completed","0","0","0","2","American Diamond Bangle","2795","10","shah@gmail.com","Pending",
"31","2015-04-25 18:05:39","Completed","0","0","0","2","American Diamond Bangle","2795","10","shah@gmail.com","Pending",
"33","2015-04-25 18:05:40","Completed","0","0","0","2","American Diamond Bangle","2795","10","shah@gmail.com","Pending",
"34","2015-04-25 19:31:54","Completed","0","0","0","11","American Diamond Kada","4095","10","cs@ambestmedia.com","Pending",
"35","2015-04-25 19:33:59","Completed","0","0","0","11","American Diamond Kada","4095","10","Testing@Testing.com","Pending",
"37","2015-04-26 08:44:40","Completed","0","0","0","4","American Diamond Bangle","5250","10","jagruti@wohlig.com","Pending",
"38","2015-04-26 08:49:32","Completed","0","0","0","1","American Diamond Bangle","2795","10","jagruti@wohlig.com","Pending",
"39","2015-04-26 08:51:35","Completed","0","0","0","1","American Diamond Bangle","2795","10","jagruti@wohlig.com","Pending",
